method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions,reconstruction_mode
random,7,11,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.009178899228572845,0.822945335111387,0.8373771405386573,0.9908211007714272,0.822945335111387,0.4444444444444444,0.4444444444444444,0 1 5 6 8 9,H00 H01 H20 H03 H21 H30,1 5 6 8 9,H01 H20 H03 H21 H30,,,,,direct_sum
random,7,12,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.007053168024867773,0.8423127313271855,0.8573327152359566,0.9929468319751322,0.8423127313271855,0.4444444444444444,0.4444444444444444,0 1 4 6 8 9,H00 H01 H11 H03 H21 H30,1 4 6 8 9,H01 H11 H03 H21 H30,,,,,direct_sum
random,7,13,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.004640934057533741,0.8632158499729335,0.8725347761076117,0.9953590659424663,0.8632158499729335,0.4444444444444444,0.4444444444444444,0 1 2 4 5 6,H00 H01 H10 H11 H20 H03,1 2 4 5 6,H01 H10 H11 H20 H03,,,,,direct_sum
random,7,14,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.001971704652532935,0.8930610803871745,0.9173979966370248,0.9980282953474671,0.8930610803871745,0.4444444444444444,0.4444444444444444,0 3 6 7 8 9,H00 H02 H03 H12 H21 H30,3 6 7 8 9,H02 H03 H12 H21 H30,,,,,direct_sum
random,7,15,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.005124380812048912,0.8668459891900863,0.8821557784590356,0.9948756191879511,0.8668459891900863,0.4444444444444444,0.4444444444444444,0 1 2 6 7 8,H00 H01 H10 H03 H12 H21,1 2 6 7 8,H01 H10 H03 H12 H21,,,,,direct_sum
random,7,16,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0025826646015048027,0.8910351059134877,0.9053762614079848,0.9974173353984952,0.8910351059134877,0.4444444444444444,0.4444444444444444,0 2 3 5 6 8,H00 H10 H02 H20 H03 H21,2 3 5 6 8,H10 H02 H20 H03 H21,,,,,direct_sum
random,7,17,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0036219535395503044,0.9014917773844654,0.9145231100822292,0.9963780464604497,0.9014917773844654,0.4444444444444444,0.4444444444444444,0 3 4 5 6 8,H00 H02 H11 H20 H03 H21,3 4 5 6 8,H02 H11 H20 H03 H21,,,,,direct_sum
random,7,18,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0032471998129040003,0.8691268479639795,0.832289031528571,0.996752800187096,0.8691268479639795,0.4444444444444444,0.4444444444444444,0 2 4 5 7 9,H00 H10 H11 H20 H12 H30,2 4 5 7 9,H10 H11 H20 H12 H30,,,,,direct_sum
random,7,19,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0026991162449121475,0.878603455268387,0.850750575605311,0.9973008837550879,0.878603455268387,0.4444444444444444,0.4444444444444444,0 2 4 7 8 9,H00 H10 H11 H12 H21 H30,2 4 7 8 9,H10 H11 H12 H21 H30,,,,,direct_sum
random,8,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.004017330706119537,0.7848511860084662,0.7443858429230148,0.9959826692938805,0.7848511860084662,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,,direct_sum
