method,preference_id,preference_name,preference,image_id,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,actions,repeat
Envelope-DQN,1.0,mse_ssim_balance,0.350 0.350 0.150 0.150,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0025476706214249134,0.8589253900716619,0.7958324883788817,0.9974523293785751,0.8589253900716619,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,mse_ssim_balance,,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023785727098584175,0.8614933426014627,0.8222828286886092,0.9976214272901416,0.8614933426014627,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,
top-k energy,,mse_ssim_balance,,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0025366870686411858,0.8531192173704053,0.7643926628777016,0.9974633129313588,0.8531192173704053,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
greedy,,mse_ssim_balance,,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023785727098584175,0.8614933426014627,0.8222828286886092,0.9976214272901416,0.8614933426014627,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,
Envelope-DQN,1.0,mse_ssim_balance,0.350 0.350 0.150 0.150,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0018813424976542592,0.8687248382092798,0.8392101241978032,0.9981186575023457,0.8687248382092798,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,mse_ssim_balance,,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0026270248927176,0.8026635848632465,0.7472846757069804,0.9973729751072824,0.8026635848632465,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,
top-k energy,,mse_ssim_balance,,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0021134645212441683,0.8512975246873634,0.7906227055825796,0.9978865354787558,0.8512975246873634,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
greedy,,mse_ssim_balance,,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0018813424976542592,0.8687248382092798,0.8392101241978032,0.9981186575023457,0.8687248382092798,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,
Envelope-DQN,1.0,mse_ssim_balance,0.350 0.350 0.150 0.150,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0011297360761091113,0.8922865877058644,0.8573227797807235,0.9988702639238909,0.8922865877058644,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,mse_ssim_balance,,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0014834990724921227,0.8516427760813098,0.8076696763202117,0.9985165009275079,0.8516427760813098,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,
top-k energy,,mse_ssim_balance,,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0011651371605694294,0.8902995025342625,0.8392450758375598,0.9988348628394306,0.8902995025342625,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
greedy,,mse_ssim_balance,,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0011297360761091113,0.8922865877058644,0.8573227797807235,0.9988702639238909,0.8922865877058644,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,
Envelope-DQN,1.0,mse_ssim_balance,0.350 0.350 0.150 0.150,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003190188203006983,0.861590741479085,0.7901250363946927,0.996809811796993,0.861590741479085,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,mse_ssim_balance,,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0026048975996673107,0.8629003357004893,0.8516333083571713,0.9973951024003327,0.8629003357004893,0.8888888888888888,0.8888888888888888,0 7,H00 H12,7,H12,,
top-k energy,,mse_ssim_balance,,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002505419310182333,0.871336864261012,0.8319563093994995,0.9974945806898177,0.871336864261012,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
greedy,,mse_ssim_balance,,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002505419310182333,0.871336864261012,0.8319563093994995,0.9974945806898177,0.871336864261012,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
Envelope-DQN,1.0,mse_ssim_balance,0.350 0.350 0.150 0.150,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.001064859563484788,0.9211689055887329,0.8749879835525162,0.9989351404365152,0.9211689055887329,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
