episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,cost,actions
1939,7460,0.050000000000000044,0.35313713550567627,0.00015988449740689248,0.0009513589320704341,0.8959428012707713,3,0.2,0 13 10 15
1940,7463,0.050000000000000044,0.05182219296693802,0.0001282666635233909,0.002692993963137269,0.7871863337778503,2,0.13333333333333333,0 6 15
1941,7465,0.050000000000000044,0.1831447035074234,0.00015694180910941213,0.003824138082563877,0.7307142555142235,1,0.06666666666666667,0 15
1942,7468,0.050000000000000044,0.14263737201690674,0.00014888816804159433,0.0014274365967139602,0.873543559937925,2,0.13333333333333333,0 12 15
1943,7470,0.050000000000000044,0.12251240015029907,0.00010798290168168023,0.0032903882674872875,0.761178596687975,1,0.06666666666666667,0 15
1944,7473,0.050000000000000044,0.32099422812461853,0.00014947704039514065,0.002542470581829548,0.8013848194256691,2,0.13333333333333333,7 0 15
1945,7475,0.050000000000000044,0.17167341709136963,0.00020946912263752893,0.0038083093240857124,0.7457163336772752,1,0.06666666666666667,0 15
1946,7477,0.050000000000000044,0.23669050633907318,0.00016976492042886093,0.0034648894798010588,0.7995885665950395,1,0.06666666666666667,0 15
1947,7479,0.050000000000000044,0.2642996311187744,0.00015130365500226617,0.003218446159735322,0.7966522244934776,1,0.06666666666666667,0 15
1948,7481,0.050000000000000044,0.16447439789772034,0.00021717521303799003,0.006094321608543396,0.700758538072415,1,0.06666666666666667,0 15
1949,7485,0.050000000000000044,0.3760000467300415,0.00014664039554190822,0.0012752693146467209,0.8780217850835513,3,0.2,0 13 10 15
1950,7487,0.050000000000000044,0.13259172439575195,0.00018590589752420783,0.002853183075785637,0.7414969990470676,1,0.06666666666666667,0 15
1951,7489,0.050000000000000044,0.1312006413936615,0.0001648668221605476,0.0023328824900090694,0.8432090521284006,1,0.06666666666666667,0 15
1952,7492,0.050000000000000044,0.3462078869342804,0.00019591449139018854,0.0021641680505126715,0.8454819418551948,2,0.13333333333333333,0 13 15
1953,7496,0.050000000000000044,0.3192157447338104,0.0001551732602820266,0.0020584221929311752,0.8529622296622194,3,0.2,0 13 10 15
1954,7498,0.050000000000000044,0.17371436953544617,0.00011247725706198253,0.003069466445595026,0.7810428271781072,1,0.06666666666666667,0 15
1955,7502,0.050000000000000044,0.3192157447338104,0.00018652751532499678,0.0020584221929311752,0.8529622296622194,3,0.2,0 13 10 15
1956,7505,0.050000000000000044,0.05216694623231888,0.00019230596080888063,0.0024768803268671036,0.7892685678779777,2,0.13333333333333333,0 9 15
1957,7510,0.050000000000000044,0.3820391893386841,0.000258365532499738,0.0009156088926829398,0.8869494927624034,4,0.26666666666666666,0 13 10 11 15
1958,7512,0.050000000000000044,0.17167341709136963,0.0001564804042573087,0.0038083093240857124,0.7457163336772752,1,0.06666666666666667,0 15
1959,7515,0.050000000000000044,0.18053287267684937,0.00018091812186564007,0.00251277768984437,0.8207721866968484,2,0.13333333333333333,7 0 15
