episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,paid_k,total_k,cost,actions
1839,9717,0.050000000000000044,0.21238619089126587,0.00037060677277622744,0.0011898600496351719,0.9272665474275913,3,3,4,0.0,3 5 4 10
1840,9725,0.050000000000000044,0.3926352560520172,0.00038315703932312317,0.0009371813503094018,0.9062324092146474,7,7,8,0.0,9 5 8 7 4 2 3 10
1841,9734,0.050000000000000044,0.43072783946990967,0.0003875935573079106,0.0007713682716712356,0.9001080341876333,8,8,9,0.0,4 7 1 2 3 9 5 8 10
1842,9741,0.050000000000000044,0.4531359076499939,0.0003084865082720561,0.0007695589447394013,0.9426009541778304,6,6,7,0.0,1 2 4 5 7 3 10
1843,9750,0.050000000000000044,0.498394638299942,0.0003579543101497822,0.000610654940828681,0.9320328336266643,8,8,9,0.0,9 5 8 3 6 7 2 4 10
1844,9758,0.050000000000000044,0.5075499415397644,0.0006601325476367492,0.0006140784244053066,0.9308668412755418,7,7,8,0.0,7 9 5 4 8 2 3 10
1845,9762,0.050000000000000044,0.30158212780952454,0.0005878898518858477,0.0004913120064884424,0.9460985286517886,3,3,4,0.0,4 5 3 10
1846,9766,0.050000000000000044,0.2718748152256012,0.0006021257286192849,0.0006805580342188478,0.9332163441620599,3,3,4,0.0,5 4 3 10
1847,9770,0.050000000000000044,0.23378056287765503,0.000575143210880924,0.0017929158639162779,0.8717285928523498,3,3,4,0.0,5 4 3 10
1848,9774,0.050000000000000044,0.21282950043678284,0.0005431806057458743,0.0008140195277519524,0.9398560478627752,3,3,4,0.0,5 4 3 10
1849,9779,0.050000000000000044,0.09247206896543503,0.0005351290630642325,0.00034986442187801003,0.9691345387456249,4,4,5,0.0,5 4 6 3 10
1850,9786,0.050000000000000044,0.447737455368042,0.0004574814686618213,0.000784349103923887,0.8978366713426059,6,6,7,0.0,9 8 4 3 5 1 10
1851,9790,0.050000000000000044,0.21238619089126587,0.00044293134851614013,0.0011898600496351719,0.9272665474275913,3,3,4,0.0,4 5 3 10
1852,9797,0.050000000000000044,0.411048948764801,0.0005069614604248532,0.0010297622065991163,0.9064937729065115,6,6,7,0.0,9 5 8 4 1 3 10
1853,9801,0.050000000000000044,0.21499721705913544,0.0004656502351281233,0.0007459187181666493,0.9416358080580742,3,3,4,0.0,5 4 3 10
1854,9805,0.050000000000000044,0.12847530841827393,0.0004289428543415852,0.00036390128661878407,0.9670587569900415,3,3,4,0.0,5 4 3 10
1855,9809,0.050000000000000044,0.1072658821940422,0.000492469102027826,0.000608788977842778,0.9322087477303501,3,3,4,0.0,5 4 3 10
1856,9813,0.050000000000000044,0.10224214941263199,0.000547102521522902,0.0007125287083908916,0.9225120335356659,3,3,4,0.0,5 4 3 10
1857,9818,0.050000000000000044,0.16717293858528137,0.0005109469231683761,0.0006917453138157725,0.9403354965336399,4,4,5,0.0,5 8 3 4 10
1858,9824,0.050000000000000044,0.3778550624847412,0.0005015672213630751,0.0006283191032707691,0.9215956026872046,5,5,6,0.0,4 7 3 9 5 10
1859,9833,0.050000000000000044,0.42975157499313354,0.00044319229588533443,0.0004744231700897217,0.9519287506195935,8,8,9,0.0,1 6 2 3 7 4 9 5 10
1860,9836,0.050000000000000044,0.12429641932249069,0.0003835561025577287,0.0007243723375722766,0.9462217480192286,2,2,3,0.0,1 7 10
1861,9837,0.050000000000000044,0.0,0.0005721028428524733,0.0014210209483280778,0.8432332585730749,0,0,1,0.0,10
1862,9844,0.050000000000000044,0.4040328562259674,0.00043172820837103894,0.0007453225553035736,0.9205305891357336,6,6,7,0.0,5 1 3 8 9 4 10
1863,9853,0.050000000000000044,0.41536974906921387,0.00047798723810248904,0.0006061751046217978,0.9527714248219512,8,8,9,0.0,1 2 3 4 9 6 7 5 10
1864,9857,0.050000000000000044,0.14049234986305237,0.000474872715130914,0.0010805055499076843,0.8915886386839161,3,3,4,0.0,2 5 3 10
1865,9860,0.050000000000000044,0.10164231806993484,0.00036734181533878046,0.0010656961239874363,0.9006846673414554,2,2,3,0.0,8 7 10
1866,9864,0.050000000000000044,0.3220631182193756,0.00047183100832626224,0.00039680927875451744,0.9629182144202176,3,3,4,0.0,5 4 3 10
1867,9868,0.050000000000000044,0.06573236733675003,0.00045305895764613524,0.0010748562635853887,0.8756208674147211,3,3,4,0.0,5 4 3 10
1868,9872,0.050000000000000044,0.30297723412513733,0.00045379428047453985,0.0009209985146299005,0.9276692834057082,3,3,4,0.0,5 4 3 10
1869,9876,0.050000000000000044,0.06573236733675003,0.00037943610368529335,0.0010748562635853887,0.8756208674147211,3,3,4,0.0,5 4 3 10
1870,9880,0.050000000000000044,0.1968708038330078,0.00046350191405508667,0.0007160058012232184,0.9380829586923193,3,3,4,0.0,5 3 4 10
1871,9884,0.050000000000000044,0.20054133236408234,0.00040339906263398007,0.0004971498856320977,0.9479085171371521,3,3,4,0.0,5 3 4 10
1872,9893,0.050000000000000044,0.49633994698524475,0.0004206412219597648,0.0006134753348305821,0.9306162230218633,8,8,9,0.0,7 1 5 8 2 4 9 3 10
