method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions
random,5,16,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0006424433086067438,0.935290307479863,0.9390791535465776,0.9993575566913933,0.935290307479863,0.4444444444444444,0.4444444444444444,0 4 5 6 7 9,H00 H11 H20 H03 H12 H30,4 5 6 7 9,H11 H20 H03 H12 H30,,,,
random,5,17,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0008251731051132083,0.9206436338804564,0.9297416210743186,0.9991748268948868,0.9206436338804564,0.4444444444444444,0.4444444444444444,0 5 6 7 8 9,H00 H20 H03 H12 H21 H30,5 6 7 8 9,H20 H03 H12 H21 H30,,,,
random,5,18,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.000664318969938904,0.9376750802809504,0.9351971680286443,0.9993356810300611,0.9376750802809504,0.4444444444444444,0.4444444444444444,0 3 4 7 8 9,H00 H02 H11 H12 H21 H30,3 4 7 8 9,H02 H11 H12 H21 H30,,,,
random,5,19,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0006169540574774146,0.9373258007479904,0.9443596931253042,0.9993830459425226,0.9373258007479904,0.4444444444444444,0.4444444444444444,0 3 4 5 7 8,H00 H02 H11 H20 H12 H21,3 4 5 7 8,H02 H11 H20 H12 H21,,,,
random,6,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023624298628419638,0.8354856577468206,0.7734737990117996,0.997637570137158,0.8354856577468206,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,
random,6,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0019519119523465633,0.8756508321504637,0.8119982222434781,0.9980480880476534,0.8756508321504637,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,
random,6,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0019536111503839493,0.8687226652853217,0.8002531480513676,0.998046388849616,0.8687226652853217,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,
random,6,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023183049634099007,0.8452402812303637,0.7867772307774173,0.9976816950365901,0.8452402812303637,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,
random,6,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.001972580561414361,0.8671747058426228,0.8506241235767162,0.9980274194385856,0.8671747058426228,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
random,6,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0017790700076147914,0.8727749611088269,0.8529331871472959,0.9982209299923852,0.8727749611088269,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
